A05,29HE06_1,HESPERIDES,1992-07-14 to 1992-08-15,Gregorio Parrilla,SPN
ARS01,33H420101109,Atlantic Explorer,2010-11-09 to 2010-11-13,Rod Johnson, K. Lew, N. McDonald,  Goldberg,BM
ARS01,33H420101113,,2010-11-13 to 2010-11-13,Rod Johnson,BM
ARS01,33H420101130,,2010-11-30 to 2010-12-01,Steve Bell, J. Sadler,BM
ARS01,33H420110303,Atlantic Explorer,2011-03-03 to 2011-03-04,M. Lomas, Rod Johnson, J. Sadler, Steve Bell,BM
ARS01,33H420110325,Atlantic Explorer,2011-03-25 to 2011-03-25,Rod Johnson,BM
ARS01,33H420110408,Atlantic Explorer,2011-04-08 to 2011-04-08,Rod Johnson,BM
ARS01,33H420110426,,2011-04-26 to 2011-04-27, Evans,BM
ARS01,33H420110516,Atlantic Explorer,2011-05-16 to 2011-05-16,Rod Johnson,BM
ARS01,33H420110521,Atlantic Explorer,2011-05-21 to 2011-05-21,Rod Johnson,BM
ARS01,33H420110614,,2011-06-14 to 2011-06-14,Steve Bell,BM
Tropical Atlantic,06MT20060712,METEOR,2006-07-12 to 2006-08-06,Arne Körtzinger,GER
